40:2:9|4|basilews|G_935
40:2:9|5|eporeuqhsan|G_4198
40:2:9|6|kai|G_2532
40:2:9|7|idou|G_3708
40:2:9|8|o|G_3588
40:2:9|9|asthr|G_792
40:2:9|10|on|G_3739
40:2:9|11|eidon|G_3708
40:2:9|12|en|G_1722
40:2:9|13|th|G_3588
40:2:9|14|anatolh|G_395
40:2:9|15|prohgen|G_4254
40:2:9|16|autous|G_846
40:2:9|17|ews|G_2193
40:2:9|18|elqwn|G_2064
40:2:9|19|estaqh|G_2476
40:2:9|20|epanw|G_1883
40:2:9|21|ou|G_3757
40:2:9|22|hn|G_1510
40:2:9|23|to|G_3588
40:2:9|24|paidion|G_3813
40:2:10|1|de|G_1161
40:2:10|2|ton|G_3588
40:2:10|3|astera|G_792
40:2:10|4|ecarhsan|G_5463
40:2:10|5|caran|G_5479
40:2:10|6|megalhn|G_3173
40:2:10|7|sfodra|G_4970
40:2:11|1|elqontes|G_2064
40:2:11|2|eis|G_1519
40:2:11|3|thn|G_3588
40:2:11|4|oikian|G_3614
40:2:11|5|eidon|G_3708
40:2:11|6|to|G_3588
40:2:11|7|paidion|G_3813
40:2:11|8|meta|G_3326
40:2:11|9|marias|G_3137
40:2:11|10|ths|G_3588
40:2:11|11|mhtros|G_3384
40:2:11|12|autou|G_846
40:2:11|13|kai|G_2532
40:2:11|14|pesontes|G_4098
40:2:11|15|prosekunhsan|G_4352
40:2:11|16|autw|G_846
40:2:11|17|kai|G_2532
40:2:11|18|anoixantes|G_455
40:2:11|19|tous|G_3588
40:2:11|20|qhsaurous|G_2344
40:2:11|21|autwn|G_846
40:2:11|22|proshnegkan|G_4374
40:2:11|23|autw|G_846
40:2:11|24|dwra|G_1435
40:2:11|25|cruson|G_5557
40:2:11|26|kai|G_2532
40:2:11|27|libanon|G_3030
40:2:11|28|kai|G_2532
40:2:11|29|smurnan|G_4666
40:2:12|1|crhmatisqentes|G_5537
40:2:12|2|kat|G_2596
40:2:12|3|onar|G_3677
40:2:12|4|mh|G_3361
40:2:12|5|anakamyai|G_344
40:2:12|6|pros|G_4314
40:2:12|7|hrwdhn|G_2264
40:2:12|8|di|G_1223
40:2:12|9|allhs|G_243
40:2:12|10|odou|G_3598
40:2:12|11|anecwrhsan|G_402
40:2:12|12|eis|G_1519
40:2:12|13|thn|G_3588
40:2:12|14|cwran|G_5561
40:2:12|15|autwn|G_846
40:2:13|1|de|G_1161
40:2:13|2|autwn|G_846
40:2:13|3|idou|G_3708
40:2:13|4|aggelos|G_32
40:2:13|5|kuriou|G_2962
40:2:13|6|fainetai|G_5316
40:2:13|7|kat|G_2596
40:2:13|8|onar|G_3677
