40:2:13|5|kuriou|G_2962
40:2:13|6|fainetai|G_5316
40:2:13|7|kat|G_2596
40:2:13|8|onar|G_3677
40:2:13|9|tw|G_3588
40:2:13|10|iwshf|G_2501
40:2:13|11|legwn|G_3004
40:2:13|12|egerqeis|G_1453
40:2:13|13|paralabe|G_3880
40:2:13|14|to|G_3588
40:2:13|15|paidion|G_3813
40:2:13|16|kai|G_2532
40:2:13|17|thn|G_3588
40:2:13|18|mhtera|G_3384
40:2:13|19|autou|G_846
40:2:13|20|kai|G_2532
40:2:13|21|feuge|G_5343
40:2:13|22|eis|G_1519
40:2:13|23|aigupton|G_125
40:2:13|24|kai|G_2532
40:2:13|25|isqi|G_1510
40:2:13|26|ekei|G_1563
40:2:13|27|ews|G_2193
40:2:13|28|an|G_302
40:2:13|29|eipw|G_3004
40:2:13|30|soi|G_4771
40:2:13|31|mellei|G_3195
40:2:13|32|gar|G_1063
40:2:13|33|hrwdhs|G_2264
40:2:13|34|zhtein|G_2212
40:2:13|35|to|G_3588
40:2:13|36|paidion|G_3813
40:2:13|37|tou|G_3588
40:2:13|38|apolesai|G_622
40:2:13|39|auto|G_846
40:2:14|1|de|G_1161
40:2:14|2|egerqeis|G_1453
40:2:14|3|parelabe|G_3880
40:2:14|4|to|G_3588
40:2:14|5|paidion|G_3813
40:2:14|6|kai|G_2532
40:2:14|7|thn|G_3588
40:2:14|8|mhtera|G_3384
40:2:14|9|autou|G_846
40:2:14|10|nuktos|G_3571
40:2:14|11|kai|G_2532
40:2:14|12|anecwrhsen|G_402
40:2:14|13|eis|G_1519
40:2:14|14|aigupton|G_125
40:2:15|1|hn|G_1510
40:2:15|2|ekei|G_1563
40:2:15|3|ews|G_2193
40:2:15|4|ths|G_3588
40:2:15|5|teleuths|G_5054
40:2:15|6|hrwdou|G_2264
40:2:15|7|ina|G_2443
40:2:15|8|plhrwqh|G_4137
40:2:15|9|to|G_3588
40:2:15|10|rhqen|G_2046
40:2:15|11|upo|G_5259
40:2:15|12|tou|G_3588
40:2:15|13|kuriou|G_2962
40:2:15|14|dia|G_1223
40:2:15|15|tou|G_3588
40:2:15|16|profhtou|G_4396
40:2:15|17|legontos|G_3004
40:2:15|18|ex|G_1537
40:2:15|19|aiguptou|G_125
40:2:15|20|ekalesa|G_2564
40:2:15|21|ton|G_3588
40:2:15|22|uion|G_5207
40:2:15|23|mou|G_1473
40:2:16|1|hrwdhs|G_2264
40:2:16|2|idwn|G_3708
40:2:16|3|oti|G_3754
40:2:16|4|enepaicqh|G_1702
40:2:16|5|upo|G_5259
40:2:16|6|twn|G_3588
40:2:16|7|magwn|G_3097
40:2:16|8|equmwqh|G_2373
40:2:16|9|lian|G_3029
40:2:16|10|kai|G_2532
40:2:16|11|aposteilas|G_649
40:2:16|12|aneile|G_337
40:2:16|13|pantas|G_3956
40:2:16|14|tous|G_3588
40:2:16|15|paidas|G_3816
40:2:16|16|tous|G_3588
40:2:16|17|en|G_1722
40:2:16|18|bhqleem|G_965
40:2:16|19|kai|G_2532
40:2:16|20|en|G_1722
40:2:16|21|pasi|G_3956
40:2:16|22|tois|G_3588
40:2:16|23|oriois|G_3725
40:2:16|24|auths|G_846
40:2:16|25|apo|G_575
40:2:16|26|dietous|G_1332
40:2:16|27|kai|G_2532
40:2:16|28|katwterw|G_2736
40:2:16|29|kata|G_2596
40:2:16|30|ton|G_3588
40:2:16|31|cronon|G_5550
40:2:16|32|on|G_3739
40:2:16|33|hkribwse|G_198
40:2:16|34|para|G_3844
40:2:16|35|twn|G_3588
40:2:16|36|magwn|G_3097
40:2:17|1|eplhrwqh|G_4137
40:2:17|2|to|G_3588
40:2:17|3|rhqen|G_2046
40:2:17|4|upo|G_5259
40:2:17|5|ieremiou|G_2408
40:2:17|6|tou|G_3588
40:2:17|7|profhtou|G_4396
40:2:17|8|legontos|G_3004
40:2:18|1|en|G_1722
40:2:18|2|rama|G_4471
40:2:18|3|hkousqh|G_191
40:2:18|4|qrhnos|G_2355
40:2:18|5|kai|G_2532
40:2:18|6|klauqmos|G_2805
40:2:18|7|kai|G_2532
40:2:18|8|odurmos|G_3602
40:2:18|9|polus|G_4183
40:2:18|10|rachl|G_4478
40:2:18|11|klaiousa|G_2799
40:2:18|12|ta|G_3588
40:2:18|13|tekna|G_5043
40:2:18|14|auths|G_846
40:2:18|15|kai|G_2532
40:2:18|16|ouk|G_3756
40:2:18|17|hqele|G_2309
40:2:18|18|paraklhqhnai|G_3870
40:2:18|19|oti|G_3754
40:2:18|20|ouk|G_3756
40:2:18|21|eisi|G_1526
40:2:19|1|de|G_1161
40:2:19|2|tou|G_3588
40:2:19|3|hrwdou|G_2264
40:2:19|4|idou|G_3708
40:2:19|5|aggelos|G_32
40:2:19|6|kuriou|G_2962
40:2:19|7|kat|G_2596
40:2:19|8|onar|G_3677
40:2:19|9|fainetai|G_5316
40:2:19|10|tw|G_3588
40:2:19|11|iwshf|G_2501
40:2:19|12|en|G_1722
40:2:19|13|aiguptw|G_125
40:2:20|1|egerqeis|G_1453
40:2:20|2|paralabe|G_3880
40:2:20|3|to|G_3588
40:2:20|4|paidion|G_3813
40:2:20|5|kai|G_2532
40:2:20|6|thn|G_3588
40:2:20|7|mhtera|G_3384
40:2:20|8|autou|G_846
40:2:20|9|kai|G_2532
40:2:20|10|poreuou|G_4198
40:2:20|11|eis|G_1519
40:2:20|12|ghn|G_1093
40:2:20|13|israhl|G_2474
40:2:20|14|teqnhkasi|G_2348
40:2:20|15|gar|G_1063
40:2:20|16|oi|G_3588
40:2:20|17|zhtountes|G_2212
40:2:20|18|thn|G_3588
40:2:20|19|yuchn|G_5590
40:2:20|20|tou|G_3588
40:2:20|21|paidiou|G_3813
40:2:21|1|de|G_1161
40:2:21|2|egerqeis|G_1453
40:2:21|3|parelabe|G_3880
40:2:21|4|to|G_3588
40:2:21|5|paidion|G_3813
40:2:21|6|kai|G_2532
40:2:21|7|thn|G_3588
40:2:21|8|mhtera|G_3384
40:2:21|9|autou|G_846
40:2:21|10|kai|G_2532
40:2:21|11|hlqen|G_2064
40:2:21|12|eis|G_1519
40:2:21|13|ghn|G_1093
40:2:21|14|israhl|G_2474
40:2:22|1|de|G_1161
40:2:22|2|oti|G_3754
40:2:22|3|arcelaos|G_745
40:2:22|4|basileuei|G_936
40:2:22|5|epi|G_1909
40:2:22|6|ths|G_3588
40:2:22|7|ioudaias|G_2449
40:2:22|8|anti|G_473
40:2:22|9|hrwdou|G_2264
40:2:22|10|tou|G_3588
